Frecuencia de uso;Edad;Total
Han utilizado Internet alguna vez;75 a 84 años;37.7
Han utilizado Internet alguna vez;85 y más años;15.3
Han utilizado Internet en los últimos 12 meses;75 a 84 años;35.5
Han utilizado Internet en los últimos 12 meses;85 y más años;14.0
Han utilizado Internet en los últimos 3 meses;75 a 84 años;34.6
Han utilizado Internet en los últimos 3 meses;85 y más años;13.7
Han utilizado internet semanalmente (al menos una vez a la semana);75 a 84 años;28.4
Han utilizado internet semanalmente (al menos una vez a la semana);85 y más años;10.6
Han utilizado Internet diariamente (al menos una vez al día);75 a 84 años;21.5
Han utilizado Internet diariamente (al menos una vez al día);85 y más años;7.7
Utilizan internet varias veces al día;75 a 84 años;19.1
Utilizan internet varias veces al día;85 y más años;6.3
